Wed Mar 23 2022 08:51:40 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategorys | data:{"message":"API Done","total":70,"status":true} | 
Wed Mar 23 2022 08:51:45 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategorys | data:{"message":"API Done","total":70,"status":true} | 
Wed Mar 23 2022 08:52:05 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategorys | data:{"message":"API Done","total":70,"status":true} | 
Wed Mar 23 2022 08:52:26 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategorys | data:{"message":"API Done","total":70,"status":true} | 
Wed Mar 23 2022 08:52:58 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategorys | data:{"message":"API Done","total":70,"status":true} | 
Wed Mar 23 2022 08:53:20 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategorys | data:{"message":"API Done","total":70,"status":true} | 
Wed Mar 23 2022 08:54:11 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /deleteCategory | data:{"message":"API Done","value":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":2,"warningCount":0,"message":"(Rows matched: 1  Changed: 1  Warnings: 0","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Wed Mar 23 2022 08:54:11 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategorys | data:{"message":"API Done","total":70,"status":true} | 
Wed Mar 23 2022 08:54:14 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /recoverCategory | data:{"message":"API Done","value":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":2,"warningCount":0,"message":"(Rows matched: 1  Changed: 0  Warnings: 0","protocol41":true,"changedRows":0},"affected":1},"status":true} | 
Wed Mar 23 2022 08:54:14 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategorys | data:{"message":"API Done","total":70,"status":true} | 
Wed Mar 23 2022 08:54:16 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /recoverCategory | data:{"message":"API Done","value":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":2,"warningCount":0,"message":"(Rows matched: 1  Changed: 0  Warnings: 0","protocol41":true,"changedRows":0},"affected":1},"status":true} | 
